"RA"	"PLOT"	"DATE"	"CREW"	"OS."	"TREE_CODE"	"INV"	"NT/MT"	"DBH"	"COND"	"CC"	"ST"	"LI"	"LLC"	"HT"	"BAD"	"NOTES"
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	1	"TSCA"	1.00	"NT"	49.50	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	1	"TSCA"	2.00		52.80	0.00	"D"						
1.00	"F2"	4/1/2005 0:00:00		1	"TSCA"	3.00		52.80	0.00		"C"	2				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	1	"TSCA"	4.00		53.20	0.00		"B"	3				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	2	"BEPA"	1.00	"NT"	15.70	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	2	"BEPA"	2.00		17.20	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		2	"BEPA"	3.00		17.90	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	2	"BEPA"	4.00		19.30	0.00		"B"	2				
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	3	"BEPA"	1.00	"NT"	18.10	0.00	"C"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	3	"BEPA"	2.00		19.40	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		3	"BEPA"	3.00		21.20	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	3	"BEPA"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	4	"ACRU"	1.00	"NT"	12.00	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	4	"ACRU"	2.00		12.10	0.00	"I"						
1.00	"F2"	4/1/2005 0:00:00		4	"ACRU"	3.00		12.30	0.00		"B"	0				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	4	"ACRU"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	5	"ACRU"	1.00	"NT"	15.90	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	5	"ACRU"	2.00		14.40	0.00	"C"						
1.00	"F2"	4/1/2005 0:00:00		5	"ACRU"	3.00		16.60	0.00		"B"	1				
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	5	"ACRU"	4.00			9.00							
1.00	"F2"	6/19/1995 0:00:00	"KB, MN, DS, TT"	6	"BEPA"	1.00	"NT"	14.30	0.00	"I"						
1.00	"F2"	6/26/2000 0:00:00	"RS, DH, LC"	6	"BEPA"	2.00		14.90	0.00	"C"						
