"RA"	"PLOT"	"S."	"TREE_CODE"	"ORG"	"AZIM"	"DIST"	"ALIAS"	"OS."	"NOTES"
1.00	"F2"	1.00	"FAGR"		187.00	5.25			
1.00	"F2"	2.00	"FAGR"		186.00	5.62			
1.00	"F2"	3.00	"FAGR"		194.00	5.12			
1.00	"F2"	4.00	"PIRU"		154.00	2.80			
1.00	"F2"	5.00	"FAGR"						
1.00	"F3"	1.00	"ABBA"						
1.00	"F3"	2.00	"ABBA"						
1.00	"F3"	3.00	"ACRU"						
1.00	"F3"	4.00	"ACRU"						
1.00	"F3"	5.00	"ACRU"	"S"	186.00	5.40			
1.00	"F3"	5.00	"PIRU"						
1.00	"F3"	6.00	"ACRU"	"S"	186.00	5.58			
1.00	"F3"	7.00	"ACRU"	"S"					
1.00	"G2"	1.00	"ABBA"						
1.00	"G2"	2.00	"ABBA"						
1.00	"G2"	3.00	"ABBA"						
1.00	"G2"	4.00	"ABBA"						
1.00	"G2"	5.00	"ABBA"						
1.00	"G2"	6.00	"POTR"	"S"	39.00	2.11			
1.00	"G2"	7.00	"ACRU"	"S"					
1.00	"G2"	8.00	"ACRU"	"S"	120.00	3.80			
1.00	"G2"	9.00	"ACRU"	"S"					
1.00	"G2"	10.00	"ACRU"	"S"					
1.00	"G2"	11.00	"ACRU"	"S"					
1.00	"G2"	12.00	"ACRU"	"S"					
1.00	"G2"	13.00	"ACRU"	"S"	123.00	3.95			
1.00	"G2"	14.00	"ACRU"	"S"	124.00	3.83			
1.00	"G2"	15.00	"ACRU"	"S"	123.00	4.58			
1.00	"G2"	16.00	"ACRU"	"S"					
1.00	"G2"	17.00	"ACRU"	"S"	120.00	4.67			
1.00	"G2"	18.00	"ACRU"	"S"	122.00	4.25			
1.00	"G2"	19.00	"ACRU"	"S"					
1.00	"G2"	20.00	"ACRU"	"S"	115.00	4.70			
1.00	"G2"	21.00	"ACRU"	"S"					
1.00	"G2"	22.00	"POGR"						
1.00	"G2"	23.00	"POTR"		85.00	5.23			
1.00	"G2"	24.00	"POTR"						
1.00	"G2"	25.00	"POTR"						
1.00	"G2"	26.00	"POTR"		92.00	5.23			
1.00	"G2"	27.00	"POTR"		37.00	3.99			
1.00	"G2"	28.00	"POTR"		54.00	2.70			
1.00	"G2"	29.00	"POTR"						
1.00	"G2"	30.00	"POTR"						
1.00	"G2"	31.00	"POTR"		70.00	2.87			
1.00	"G2"	32.00	"POTR"		280.00	2.70			
1.00	"G2"	33.00	"ACRU"	"S"	209.00	2.39			
1.00	"G2"	34.00	"ACRU"	"S"	203.00	3.28			
1.00	"G2"	35.00	"ACRU"	"S"	203.00	3.28			
1.00	"G2"	36.00	"ACRU"	"S"	211.00	2.49			
1.00	"G2"	37.00	"ACRU"	"S"					
1.00	"G2"	38.00	"ACRU"	"S"	208.00	2.41			
1.00	"G2"	39.00	"ACRU"	"S"					
1.00	"G2"	40.00	"ACRU"	"S"					
1.00	"G2"	41.00	"ACRU"	"S"	202.00	2.95			
1.00	"G2"	42.00	"ACRU"	"S"	201.00	3.36			
1.00	"G2"	43.00	"ACRU"	"S"	196.00	3.04			
1.00	"G2"	44.00	"ACRU"	"S"					
1.00	"G2"	45.00	"ACRU"	"S"					
1.00	"G2"	46.00	"ACRU"	"S"					
1.00	"G2"	47.00	"ACRU"	"S"					
1.00	"G2"	48.00	"POTR"						
1.00	"G2"	49.00	"POTR"						
1.00	"G2"	50.00	"ACRU"	"S"					
1.00	"G2"	51.00	"ACRU"	"S"	110.00	4.88			
1.00	"G2"	52.00	"ACRU"	"S"	110.00	4.64			
1.00	"G2"	53.00	"ACRU"	"S"					
1.00	"G2"	54.00	"ACRU"	"S"	110.00	4.00			
1.00	"G2"	55.00	"ACRU"	"S"	114.00	4.12			
1.00	"G2"	56.00	"ACRU"	"S"					
1.00	"G2"	57.00	"POTR"		78.00	4.00			
1.00	"G2"	58.00	"POTR"						
1.00	"G2"	59.00	"POTR"						
1.00	"G2"	60.00	"POTR"		73.00	3.51			
1.00	"G2"	61.00	"POTR"		73.00	2.12			
1.00	"G2"	62.00	"ACRU"	"S"	43.00	4.23			
1.00	"G2"	63.00	"ACRU"	"S"	45.00	4.75			
1.00	"G2"	64.00	"ACRU"	"S"	38.00	4.82			
1.00	"G2"	65.00	"POTR"						
1.00	"G2"	66.00	"POTR"						
1.00	"G2"	67.00	"POTR"		340.00	3.97			
1.00	"G2"	68.00	"ACRU"	"S"					
1.00	"G2"	69.00	"ACRU"	"S"					
1.00	"G2"	70.00	"ACRU"	"S"	329.00	2.79			
1.00	"G2"	71.00	"BEPA"	"S"	308.00	5.23			
1.00	"G2"	72.00	"BEPA"	"S"					
1.00	"G2"	73.00	"POTR"						
1.00	"G2"	74.00	"POTR"		290.00	4.63			
1.00	"G2"	75.00	"POTR"		288.00	5.09			
1.00	"G2"	76.00	"POTR"		285.00	4.45			
1.00	"G2"	77.00	"POTR"						
1.00	"G2"	78.00	"POTR"						
1.00	"G2"	79.00	"POTR"		248.00	3.39			
1.00	"G2"	80.00	"POTR"		264.00	5.22			
1.00	"G2"	81.00	"ABBA"		274.00	2.97			
1.00	"G2"	82.00	"ACRU"	"S"	304.00	4.37			
1.00	"G2"	83.00	"POTR"		292.00	2.09			
1.00	"G2"	84.00	"ABBA"		57.00	3.36			
1.00	"G2"	85.00	"ACRU"		288.00	4.95			
1.00	"G2"	86.00	"ABBA"		102.00	4.25			
1.00	"G2"	87.00	"ABBA"		118.00	3.00			
1.00	"G2"	88.00	"ABBA"		120.00	5.00			
1.00	"G2"	89.00	"ABBA"		138.00	4.04			
1.00	"G2"	90.00	"ABBA"		166.00	4.24			
1.00	"G2"	91.00	"ABBA"		170.00	4.63			
1.00	"G2"	92.00	"PIST"		160.00	3.42			
1.00	"G2"	93.00	"ABBA"		196.00	4.72			
1.00	"G2"	94.00	"ABBA"		164.00	4.28			
1.00	"G2"	95.00	"ABBA"		152.00	3.69			
1.00	"G2"	96.00	"ABBA"		213.00	4.90			
1.00	"G2"	97.00	"ACRU"		150.00	2.69			
1.00	"G2"	98.00	"POTR"		234.00	3.20			
1.00	"G4"	1.00	"OSVI"	"W"	225.00	4.38			
1.00	"G4"	2.00	"ACSA"						
1.00	"G4"	3.00	"TSCA"					76.00	
1.00	"G4"	4.00	"OSVI"						
1.00	"G4"	5.00	"TSCA"		26.00	5.41			
1.00	"G4"	6.00	"TSCA"		47.00	5.54			
1.00	"G4"	7.00	"TSCA"					75.00	
1.00	"G4"	8.00	"ACRU"						
1.00	"G4"	9.00	"ACSA"	"W"	126.00	1.71			
1.00	"G4"	10.00	"ACSA"	"W"	126.00	1.57			
1.00	"G4"	11.00	"ACSA"	"S"					
1.00	"G4"	12.00	"OSVI"	"W"					
1.00	"G5"	1.00	"TSCA"		165.00	4.93			
1.00	"G5"	2.00	"TSCA"						
1.00	"G5"	3.00	"OSVI"		327.00	5.36			
1.00	"G5"	4.00	"TSCA"		359.00	1.81			
1.00	"G5"	5.00	"BEAL"						
1.00	"H2"	1.00	"ABBA"						
1.00	"H2"	2.00	"TSCA"		190.00	5.36			
1.00	"H2"	3.00	"ABBA"						
1.00	"H2"	4.00	"TSCA"		208.00	2.95		76.00	
1.00	"H2"	5.00	"TSCA"						
1.00	"H2"	6.00	"ABBA"						
1.00	"H2"	7.00	"ABBA"						
1.00	"H2"	8.00	"ABBA"						
1.00	"H2"	9.00	"ABBA"						
1.00	"H2"	10.00	"ABBA"						
1.00	"H2"	11.00	"PIST"						
1.00	"H2"	12.00	"BEPA"						
1.00	"H2"	13.00	"ABBA"						
1.00	"H2"	14.00	"ABBA"		78.00	1.66			
1.00	"H2"	15.00	"ABBA"						
1.00	"H2"	16.00	"ABBA"						
1.00	"H2"	17.00	"ABBA"						
1.00	"H2"	18.00	"ABBA"						
1.00	"H2"	19.00	"ABBA"						
1.00	"H2"	20.00	"ABBA"		107.00	3.67			
1.00	"H2"	21.00	"ABBA"		108.00	2.06			
1.00	"H2"	22.00	"ABBA"						
1.00	"H2"	23.00	"ABBA"		133.00	3.79			
1.00	"H2"	24.00	"ABBA"		121.00	4.72			
1.00	"H2"	25.00	"ABBA"						
1.00	"H2"	26.00	"ABBA"						
1.00	"H2"	27.00	"ABBA"		158.00	3.48			
1.00	"H2"	28.00	"ABBA"						
1.00	"H2"	29.00	"ABBA"						
1.00	"H2"	30.00	"ABBA"						
1.00	"H2"	31.00	"TSCA"						
1.00	"H2"	32.00	"ABBA"		115.00	5.37			
1.00	"H2"	33.00	"ABBA"		123.00	2.56			
1.00	"H2"	34.00	"ABBA"						
1.00	"H2"	35.00	"ABBA"						
1.00	"H2"	36.00	"ABBA"						
1.00	"H2"	37.00	"ABBA"		105.00	1.10			
1.00	"H2"	38.00	"ABBA"						
1.00	"H2"	39.00	"TSCA"						
1.00	"H2"	40.00	"ABBA"						
1.00	"H2"	41.00	"ABBA"						
1.00	"H2"	42.00	"ABBA"		115.00	3.23			
1.00	"H2"	43.00	"ABBA"		135.00	1.68			
1.00	"H2"	44.00	"ABBA"						
1.00	"H2"	45.00	"ABBA"						
1.00	"H2"	46.00	"ABBA"						
1.00	"H2"	47.00	"ABBA"						
1.00	"H2"	48.00	"ABBA"		181.00	4.18			
1.00	"H2"	49.00	"ABBA"		186.00	4.39			
1.00	"H2"	50.00	"ABBA"		0.00	5.21			
1.00	"H2"	51.00	"ABBA"		0.00	0.76			
1.00	"H2"	52.00	"ABBA"		310.00	4.80			
1.00	"H2"	53.00	"ABBA"		0.00	1.90			
1.00	"H2"	54.00	"ABBA"		259.00	1.16			
1.00	"H2"	55.00	"ABBA"			3.12			
1.00	"H2"	56.00	"TSCA"		323.00	0.75			
1.00	"H2"	57.00	"ABBA"		75.00	5.33			
1.00	"H2"	58.00	"ABBA"		62.00	5.29			
1.00	"H2"	59.00	"ABBA"		51.00	4.85			
1.00	"H2"	60.00	"ABBA"		31.00	5.34			
1.00	"H2"	61.00	"ABBA"		343.00	4.23			
1.00	"H3"	1.00	"TSCA"		267.00	4.50		71.00	
1.00	"H3"	2.00	"TSCA"						
1.00	"H3"	3.00	"FAGR"						
