"RA"	"RT."	"TREE_CODE"	"INV"	"CREW"	"DATE"	"DBH"	"HT"	"LLC"	"COND"	"ST"	"LI"	"CC"	"CAV"	"NOTES"
1.00	1.00	"THOC"	1.00		5/21/1996 0:00:00	31.60	13.46	5.65				"C"	"0"	
1.00	1.00	"THOC"	2.00		7/12/2000 0:00:00	32.90	14.10	7.70	2.00			"C"	"1"	
1.00	1.00	"THOC"	3.00		11/3/2004 0:00:00	32.88	14.30	7.60	2.00	"C"	1	"I"	"1"	
1.00	1.00	"THOC"	4.00	"KB;HV"	7/1/2010 0:00:00	33.30	14.30	9.20	2.00	"C"	2		"Y"	
1.00	2.00	"ACRU"	1.00		5/21/1996 0:00:00	31.20	13.76	8.39				"C"	"0"	
1.00	2.00	"ACRU"	2.00		7/12/2000 0:00:00	32.40	15.70	7.60				"C"	"0"	
1.00	2.00	"ACRU"	3.00		11/3/2004 0:00:00	32.59	14.00	9.90	23.00	"B"	2	"C"	"1"	
1.00	2.00	"ACRU"	4.00	"KB;HV"	7/1/2010 0:00:00	33.10	16.80	9.50	23.00	"B"	3		"N"	
1.00	3.00	"TSCA"	1.00		5/21/1996 0:00:00	50.30	20.27	10.13	2.00			"D"	"1"	
1.00	3.00	"TSCA"	2.00		7/12/2000 0:00:00	48.00	20.00	11.20	2.00			"D"	"1"	
1.00	3.00	"TSCA"	3.00		11/3/2004 0:00:00	49.33	22.30	10.00	2.00	"B"	4	"C"	"1"	
1.00	3.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	51.70	20.10	11.00	2.00	"B"	4		"Y"	
1.00	4.00	"THOC"	2.00		7/13/2000 0:00:00	44.10	13.70	5.10				"I"	"0"	
1.00	4.00	"TSCA"	1.00		5/21/1996 0:00:00	40.80	17.30	5.88				"I"	"0"	
1.00	4.00	"TSCA"	3.00		11/3/2004 0:00:00	43.29	16.40	6.90	5.00			"I"	"0"	
1.00	4.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	43.40	11.60	4.50	5.00	"C"	0		"N"	"1.14m above DBH. DBH IN GROUND 6.93 FROM BASE TO CIENT"
1.00	5.00	"PIST"	1.00		5/21/1996 0:00:00	75.00	27.39	19.72	2.00			"D"	"1"	
1.00	5.00	"PIST"	2.00		7/12/2000 0:00:00	77.50	28.80	10.80	2.00			"D"	"1"	
1.00	5.00	"PIST"	3.00		11/3/2004 0:00:00	79.86	27.10	13.40	2.00	"A"	4	"D"	"0"	
1.00	5.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	82.00	26.20	14.50	23.00	"A"	5			
1.00	6.00	"THOC"	1.00		5/21/1996 0:00:00	21.60	12.25	4.53				"I"	"0"	
1.00	6.00	"THOC"	2.00		7/13/2000 0:00:00				9.00					
1.00	7.00	"ACRU"	1.00		5/21/1996 0:00:00	26.80	21.11	10.34				"C"	"0"	
1.00	7.00	"ACRU"	2.00		7/12/2000 0:00:00	30.40	20.50	8.30				"D"	"0"	
1.00	7.00	"ACRU"	3.00		11/3/2004 0:00:00	35.14	21.30	7.60	0.00	"B"	5	"D"	"0"	
1.00	8.00	"POGR"	1.00		5/21/1996 0:00:00	29.50	20.56	12.13				"C"	"0"	
1.00	8.00	"POGR"	2.00		7/12/2000 0:00:00	32.30	23.20	11.90				"D"	"0"	
1.00	8.00	"POGR"	3.00		11/3/2004 0:00:00	34.79	21.90	12.10	0.00	"B"	5	"D"	"0"	
1.00	8.00	"POGR"	4.00	"KB;HV"	7/1/2010 0:00:00	37.80	23.40	12.90	0.00	"B"	5		"N"	
1.00	9.00	"POGR"	1.00		5/21/1996 0:00:00	28.00	21.29	13.41				"C"	"0"	
1.00	9.00	"POGR"	2.00		7/12/2000 0:00:00	29.90	18.70	12.00				"D"	"0"	
1.00	9.00	"POGR"	3.00		11/3/2004 0:00:00	33.13	20.60	13.10	0.00	"B"	5	"D"	"0"	
1.00	10.00	"TSCA"	1.00		5/21/1996 0:00:00	57.90	24.56	11.78				"D"	"0"	
1.00	10.00	"TSCA"	2.00		7/12/2000 0:00:00	61.50	23.50	8.80				"D"	"0"	
1.00	10.00	"TSCA"	3.00		11/3/2004 0:00:00	63.02	25.40	7.60	0.00	"A"	4	"D"	"0"	
1.00	10.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	65.50	26.60	8.90	0.00	"B"	5		"N"	
1.00	11.00	"QURU"	1.00		5/21/1996 0:00:00	22.00	20.05	11.22				"C"	"0"	
1.00	11.00	"QURU"	2.00		7/12/2000 0:00:00	24.80	20.00	10.10				"C"	"0"	
1.00	11.00	"QURU"	3.00		11/3/2004 0:00:00	28.32	21.80	13.80	0.00	"B"	3	"C"	"0"	
1.00	11.00	"QURU"	4.00	"KB;HV"	7/1/2010 0:00:00	32.00	22.90	14.30	0.00	"B"	4		"N"	
1.00	12.00	"PIST"	1.00		5/21/1996 0:00:00	27.80	19.45	14.39				"C"	"0"	
1.00	12.00	"PIST"	2.00		7/12/2000 0:00:00	30.40	21.30	13.40				"C"	"0"	
1.00	12.00	"PIST"	3.00		11/3/2004 0:00:00	33.32	20.50	12.80	0.00	"B"	4	"C"	"0"	
1.00	12.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	38.60	24.30	15.00	0.00	"B"	5		"N"	
1.00	13.00	"TSCA"	1.00		5/21/1996 0:00:00	55.90	22.00	9.46	2.00			"D"	"1"	
1.00	13.00	"TSCA"	2.00		7/12/2000 0:00:00	15.70	22.70	5.10				"C"	"0"	
1.00	13.00	"TSCA"	3.00		11/3/2004 0:00:00	58.05	22.00	7.90	2.00	"B"	3	"C"	"1"	
1.00	13.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	60.30	24.10	5.20	2.00	"B"	4		"Y"	
1.00	14.00	"TSCA"	1.00		5/21/1996 0:00:00	47.10	22.27	8.90				"D"	"0"	
1.00	14.00	"TSCA"	2.00		7/12/2000 0:00:00	48.20	23.70	9.80				"D"	"0"	
1.00	14.00	"TSCA"	3.00		11/3/2004 0:00:00	49.14	22.70	10.90	0.00	"B"	3	"D"	"0"	
1.00	14.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	51.30	24.70	12.40	0.00	"B"	4		"N"	
1.00	15.00	"TSCA"	1.00		5/21/1996 0:00:00	44.70	21.17	11.85				"C"	"0"	
1.00	15.00	"TSCA"	2.00		7/12/2000 0:00:00	46.20	22.40	9.80				"C"	"0"	
1.00	15.00	"TSCA"	3.00		11/3/2004 0:00:00	46.72	22.50	10.80	0.00	"B"	2	"C"	"0"	
1.00	15.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	48.30	24.20	10.80	0.00	"B"	4		"N"	
1.00	16.00	"BEPA"	1.00		5/21/1996 0:00:00	34.20	21.24	12.10				"C"	"0"	
1.00	16.00	"BEPA"	2.00		7/12/2000 0:00:00	35.80	13.80	12.50				"C"	"0"	
1.00	16.00	"BEPA"	3.00		11/3/2004 0:00:00	35.65	21.40	13.50	2.00	"B"	2	"C"	"1"	
1.00	16.00	"BEPA"	4.00	"KB;HV"	7/1/2010 0:00:00	35.70	21.20	13.60	3.00	"B"	5		"N"	"MEASUREMENT 25 CM BELOW DBH"
1.00	17.00	"PIST"	1.00		5/21/1996 0:00:00	24.80	17.86	14.46				"C"	"0"	
1.00	17.00	"PIST"	2.00		7/12/2000 0:00:00	25.80	19.20	13.50				"C"	"0"	
1.00	17.00	"PIST"	3.00		11/3/2004 0:00:00	30.55	20.30	13.20	0.00	"B"	3	"C"	"0"	
1.00	17.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	34.80	22.30	14.70	0.00	"B"	5		"N"	
1.00	18.00	"FAGR"	1.00		5/21/1996 0:00:00	48.51	17.00	6.12				"I"	"0"	
1.00	18.00	"FAGR"	2.00		7/12/2000 0:00:00	38.10	15.10	5.90				"I"	"0"	
1.00	18.00	"FAGR"	3.00		11/3/2004 0:00:00	39.24	15.80	5.00	23.00	"B"	3	"I"	"1"	
1.00	18.00	"FAGR"	4.00	"KB;HV"	7/1/2010 0:00:00	40.50	17.80	7.00	23.00	"B"	3		"N"	
1.00	19.00	"TSCA"	1.00		5/21/1996 0:00:00	49.78	19.83	11.50				"C"	"0"	
1.00	19.00	"TSCA"	2.00		7/12/2000 0:00:00	41.50	19.10	7.40				"C"	"0"	
1.00	19.00	"TSCA"	3.00		11/3/2004 0:00:00	42.84	20.50	8.30	2.00	"B"	1	"C"	"1"	
1.00	19.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	46.40	19.60	8.70	0.00	"B"	4		"N"	
1.00	20.00	"TSCA"	1.00		5/21/1996 0:00:00	54.10	20.65	8.67				"C"	"0"	
1.00	20.00	"TSCA"	2.00		7/12/2000 0:00:00	44.60	21.70	9.00				"C"	"0"	
1.00	20.00	"TSCA"	3.00		11/3/2004 0:00:00	45.23	21.50	10.50	0.00	"B"	2	"C"	"0"	
1.00	20.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	47.50	22.30	10.10	0.00	"B"	4		"N"	
1.00	21.00	"POGR"	1.00		5/21/1996 0:00:00	56.89						"D"	"0"	
1.00	21.00	"POTR"	2.00		7/12/2000 0:00:00	25.50	21.80	12.80				"C"	"0"	
1.00	21.00	"POTR"	3.00		11/3/2004 0:00:00	28.99	20.80	12.70	0.00	"B"	5	"D"	"0"	
1.00	21.00	"POTR"	4.00	"KB;HV"	7/1/2010 0:00:00	32.60	21.60	13.30	0.00	"B"	5		"N"	
1.00	22.00	"POGR"	1.00		5/21/1996 0:00:00	53.08	24.39	15.36				"D"	"0"	
1.00	22.00	"POGR"	2.00		7/12/2000 0:00:00	44.10	26.50	14.50				"C"	"0"	
1.00	22.00	"POGR"	3.00		11/3/2004 0:00:00	46.40	25.60	12.90	0.00	"B"	3	"D"	"0"	
1.00	22.00	"POGR"	4.00	"KB;HV"	7/1/2010 0:00:00	50.40	28.50	10.80	0.00	"A"	4		"N"	
1.00	23.00	"PIST"	1.00		5/21/1996 0:00:00	115.57						"D"	"0"	
1.00	23.00	"PIST"	2.00		7/12/2000 0:00:00	46.80	23.20	16.00				"C"	"0"	
1.00	23.00	"PIST"	3.00		11/3/2004 0:00:00	48.41	24.50	14.50	0.00	"A"	4	"D"	"0"	
1.00	23.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	51.80	26.70	14.50	0.00	"A"	5		"N"	
1.00	24.00	"ACRU"	1.00		5/21/1996 0:00:00	58.16	26.51	12.19				"C"	"0"	
1.00	24.00	"ACRU"	2.00		7/12/2000 0:00:00	47.00	24.60	8.40				"D"	"0"	
1.00	24.00	"ACRU"	3.00		11/3/2004 0:00:00	48.60	25.60	14.80	0.00	"B"	2	"C"	"0"	
1.00	24.00	"ACRU"	4.00	"KB;HV"	7/1/2010 0:00:00	51.20	31.00	14.20	0.00	"B"	4		"N"	
1.00	25.00	"FAGR"	1.00		5/21/1996 0:00:00	37.08	18.02	10.09	2.00			"C"	"1"	
1.00	25.00	"FAGR"	2.00		7/12/2000 0:00:00	28.70	12.90	9.60	2.00			"I"	"1"	
1.00	25.00	"FAGR"	3.00		11/3/2004 0:00:00				9.00					
1.00	25.00	"FAGR"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	26.00	"PIST"	1.00		5/21/1996 0:00:00	59.69	18.82	8.84				"C"	"0"	
1.00	26.00	"PIST"	2.00		7/12/2000 0:00:00				8.00					
1.00	26.00	"PIST"	3.00		11/3/2004 0:00:00				8.00					
1.00	27.00	"PIST"	1.00		5/21/1996 0:00:00	54.61	26.82	17.96				"C"	"0"	
1.00	27.00	"PIST"	2.00		7/12/2000 0:00:00	44.70	25.80	13.40				"D"	"0"	
1.00	27.00	"PIST"	3.00		11/3/2004 0:00:00	49.52	26.50	15.20	0.00	"B"	4	"D"	"0"	
