"RA"	"PLOT"	"QUAD"	"INV"	"DATE"	"CREW"	"TYPE"	"CODE"	"CERT"	".STEMS"	"%COVER"	"NOTES"
1.00	"F2"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"H"	"GAUPRO"		1.00	1.00	
1.00	"F2"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"MOSS__"			1.00	
1.00	"F2"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		60.00	1.00	
1.00	"F2"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ACERSP"		1.00	1.00	
1.00	"F2"	2.00	1.00	6/30/1995 0:00:00	"MP, SK"	"L"	"LICHGB"			1.00	
1.00	"F2"	2.00	1.00	6/30/1995 0:00:00	"MP, SK"	"L"	"LICHWF"			1.00	
1.00	"F2"	2.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"DICRSP2"			2.00	
1.00	"F2"	2.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ACERSP"		7.00	1.00	
1.00	"F2"	2.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		3.00	6.00	
1.00	"F2"	2.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		35.00	1.00	
1.00	"F2"	3.00	1.00	6/30/1995 0:00:00	"MP, SK"	"H"	"MAICAN"		1.00	1.00	
1.00	"F2"	3.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"DICRSP2"			3.00	
1.00	"F2"	3.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"HYPNSP"			1.00	
1.00	"F2"	3.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ACERUB"		8.00	1.00	
1.00	"F2"	3.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		2.00	1.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"L"	"LICHWF"			1.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"BAZZSP"			3.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"DICRSP2"			1.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"ULOCRI"			1.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		50.00	1.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ACERSP"		3.00	1.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"TSUCAN"		3.00	2.00	
1.00	"F2"	4.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		1.00	1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"H"	"MAICAN"		3.00	1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"H"	"TRIBOR"		18.00	8.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"L"	"LICHWF"			1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"MOSS__1"			15.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"MOSS__2"			2.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"MOSS__3"			1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"M"	"POLYSP"			1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ACERSP"		6.00	1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		8.00	1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"TSUCAN"		4.00	1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"ABIBAL"		60.00	1.00	
1.00	"F3"	1.00	1.00	6/30/1995 0:00:00	"MP, SK"	"T"	"OSTVIR"		2.00	1.00	
1.00	"F3"	2.00	1.00	6/30/1995 0:00:00	"MP, SK"	"L"	"LICHGB"			1.00	
