"RA"	"PLOT"	"X-COOR"	"Y-COOR"
1.00	"F2"	531090.41	4964012.04
1.00	"F3"	531109.31	4963965.20
1.00	"G2"	531128.16	4964035.78
1.00	"G4"	531178.55	4963948.38
1.00	"G5"	531205.93	4963906.78
1.00	"H2"	531161.24	4964084.83
1.00	"H3"	531188.33	4964036.21
1.00	"H4"	531211.09	4963987.84
1.00	"H7"	531284.65	4963862.14
1.00	"I2"	531214.89	4964095.77
1.00	"I3"	531238.63	4964045.10
1.00	"I5"	531287.35	4963966.12
1.00	"I6"	531312.19	4963922.20
1.00	"I7"	531338.19	4963876.98
1.00	"J2"	531252.92	4964121.39
1.00	"J3"	531275.55	4964082.99
1.00	"J4"	531305.99	4964036.24
1.00	"J5"	531328.83	4963994.89
1.00	"J6"	531355.54	4963946.65
1.00	"K2"	531303.87	4964152.71
2.00	"C2"	530838.63	4964144.14
2.00	"C3"	530854.68	4964107.98
2.00	"C4"	530888.28	4964055.50
2.00	"D2"	530885.44	4964170.81
2.00	"D3"	530898.22	4964123.11
2.00	"D5"	530951.84	4964034.51
2.00	"E2"	530924.02	4964194.83
2.00	"E4"	530972.42	4964109.16
2.00	"F2"	530966.36	4964213.28
2.00	"F3"	530996.45	4964179.90
2.00	"F4"	531021.07	4964141.09
2.00	"G2"	531007.39	4964237.40
2.00	"G3"	531033.58	4964199.47
2.00	"H3"	531075.84	4964224.62
2.00	"H4"	531101.77	4964182.59
2.00	"I4"	531148.60	4964204.49
2.00	"J3"	531165.92	4964273.51
2.00	"J4"	531198.62	4964220.10
2.00	"K2"	531182.34	4964346.44
2.00	"K3"	531208.72	4964299.62
3.00	"A2"	530648.07	4964272.13
3.00	"A3"	530673.44	4964233.79
3.00	"A4"	530699.86	4964184.41
3.00	"B3"	530712.14	4964254.34
3.00	"B4"	530741.43	4964213.70
3.00	"C2"	530728.09	4964332.48
3.00	"C3"	530756.45	4964285.71
3.00	"D3"	530803.15	4964307.99
3.00	"E2"	530823.95	4964376.21
3.00	"E3"	530837.80	4964342.48
3.00	"E4"	530866.09	4964290.53
3.00	"F3"	530883.83	4964359.42
3.00	"F4"	530911.88	4964314.05
3.00	"G3"	530926.59	4964380.51
3.00	"G4"	530952.18	4964339.06
3.00	"H2"	530948.67	4964451.50
3.00	"H3"	530971.01	4964408.36
3.00	"I2"	530988.01	4964479.33
3.00	"J3"	531058.38	4964457.82
3.00	"J4"	531085.88	4964416.96
4.00	"A10"	531826.52	4963601.60
4.00	"A2"	531431.12	4963599.70
4.00	"A4"	531527.68	4963599.46
4.00	"A5"	531578.36	4963599.66
4.00	"A7"	531679.82	4963605.73
4.00	"A8"	531728.62	4963600.59
4.00	"A9"	531777.39	4963598.77
4.00	"B10"	531831.11	4963551.82
4.00	"B2"	531429.46	4963551.52
4.00	"B3"	531483.40	4963554.57
4.00	"B5"	531585.80	4963552.22
4.00	"B6"	531627.27	4963549.76
4.00	"B8"	531728.50	4963551.15
4.00	"C4"	531530.84	4963506.72
4.00	"C7"	531680.10	4963509.98
4.00	"C8"	531730.50	4963510.37
