"RA"	"PLOT"	"DATE"	"CREW"	"S."	"INV"	"NT/MT"	"TREE_CODE"	"DBH"	"GAP"	"COND"	"CC"	"ST"	"LI"	"BAD"	"NOTES"
1.00	"F2"	8/2/1995 0:00:00	"DS, KB, MM, TT"	1.00	1.00	"NT"	"FAGR"	5.80	0		"C"				
1.00	"F2"	6/26/2000 0:00:00	"LC, DH, RS"	1.00	2.00		"FAGR"			9					
1.00	"F2"	8/2/1995 0:00:00	"DS, KB, MM, TT"	2.00	1.00	"NT"	"FAGR"	5.00	0		"I"				
1.00	"F2"	6/26/2000 0:00:00	"LC, DH, RS"	2.00	2.00		"FAGR"	4.40	0	3	"O"				
1.00	"F2"	8/2/1995 0:00:00	"DS, KB, MM, TT"	3.00	1.00	"NT"	"FAGR"	8.10	0		"D"				
1.00	"F2"	6/26/2000 0:00:00	"LC, DH, RS"	3.00	2.00		"FAGR"	8.40	0		"I"				
1.00	"F2"	8/2/1995 0:00:00	"DS, KB, MM, TT"	4.00	1.00	"NT"	"PIRU"	2.20	0		"O"				
1.00	"F2"	6/26/2000 0:00:00	"LC, DH, RS"	4.00	2.00		"PIRU"	1.60	0		"I"				
1.00	"F2"	4/1/2005 0:00:00	"KB,ST"	4.00	3.00		"PIRU"	2.30		4		"D"	0		
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	4.00	4.00		"PIRU"	2.50		0		"D"	1		
1.00	"F2"	6/7/2010 0:00:00	"HV;JA;KB;BR;AR"	5.00	4.00		"FAGR"	1.70		0		"D"	1		
1.00	"F3"	8/2/1995 0:00:00	"DS, KB, MM, TT"	1.00	1.00	"NT"	"ABBA"	2.20	0		"O"				
1.00	"F3"	6/26/2000 0:00:00	"LC, DH, RS"	1.00	2.00		"ABBA"			7					
1.00	"F3"	8/2/1995 0:00:00	"DS, KB, MM, TT"	2.00	1.00	"NT"	"ABBA"	7.90	0		"C"				
1.00	"F3"	6/26/2000 0:00:00	"LC, DH, RS"	2.00	2.00		"ABBA"			7					
1.00	"F3"	8/2/1995 0:00:00	"DS, KB, MM, TT"	3.00	1.00	"NT"	"ACRU"	7.10	0		"D"				
1.00	"F3"	6/26/2000 0:00:00	"LC, DH, RS"	3.00	2.00		"ACRU"			7					
1.00	"F3"	8/2/1995 0:00:00	"DS, KB, MM, TT"	4.00	1.00	"NT"	"ACRU"	6.40	0		"C"				
1.00	"F3"	6/26/2000 0:00:00	"LC, DH, RS"	4.00	2.00		"ACRU"	6.40	0		"O"				
1.00	"F3"	4/1/2005 0:00:00	"KB,ST"	4.00	3.00		"ACRU"			7					
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	4.00	4.00		"ACRU"			7					"""""""Still harvested"""""""
1.00	"F3"	8/2/1995 0:00:00	"DS, KB, MM, TT"	5.00	1.00	"NT"	"PIRU"	7.20	0		"I"				
1.00	"F3"	6/26/2000 0:00:00	"LC, DH, RS"	5.00	2.00		"PIRU"			7					
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	5.00	4.00		"ACRU"	4.10	2	0		"C"	4		
1.00	"F3"	8/2/1995 0:00:00	"DS, KB, MM, TT"	6.00	1.00	"NT"	"ACRU"	5.30	0		"C"				
1.00	"F3"	6/26/2000 0:00:00	"LC, DH, RS"	6.00	2.00		"ACRU"			7					
1.00	"F3"	6/8/2010 0:00:00	"HV;JA;KB;BR;AR"	6.00	4.00		"ACRU"	2.60	2	0		"C"	3		
1.00	"F3"	8/2/1995 0:00:00	"DS, KB, MM, TT"	7.00	1.00	"NT"	"ACRU"	5.60	0		"I"				
1.00	"F3"	6/26/2000 0:00:00	"LC, DH, RS"	7.00	2.00		"ACRU"			7					
1.00	"G2"	8/2/1995 0:00:00	"DS, KB, MM, TT"	1.00	1.00	"NT"	"ABBA"	9.30	0		"D"				
1.00	"G2"	6/27/2000 0:00:00	"LC, DH, RS"	1.00	2.00		"ABBA"			8					
