"RA"	"PLOT"	"INV"	"???"	"ABBA"	"ABBU"	"ACPE"	"ACRU"	"ACSA"	"ALIN"	"ALNI"	"BEAL"	"BEPA"	"COCO"	"FAGR"	"FRAM"	"FRNI"	"HAVI"	"OSVI"	"PIGL"	"PIRU"	"PIST"	"POTR"	"QURU"	"THOC"	"TSCA"
1.00	"F2"	4.00												1						1					
1.00	"F3"	4.00					2																		
1.00	"G2"	4.00		12			27														1	16			
1.00	"G2"	4.00																				1			
1.00	"G2"	4.00					6															1			
1.00	"G4"	4.00						1										1							
1.00	"G4"	4.00						1																	
1.00	"G4"	4.00																1							
1.00	"G5"	4.00																1							1
1.00	"H2"	4.00		43																					5
1.00	"H3"	4.00		16			2							3						2					7
1.00	"H3"	4.00																							1
1.00	"H4"	4.00					1				1														1
1.00	"H4"	4.00																							1
1.00	"H7"	4.00		6			6																		4
1.00	"H7"	4.00																							1
1.00	"H7"	4.00																							1
1.00	"I2"	4.00		1			1	1						1											2
1.00	"I2"	4.00						1																	
1.00	"I3"	4.00					20				2														
1.00	"I3"	4.00					1																		
1.00	"I3"	4.00					1																		
1.00	"I5"	4.00						1																	1
1.00	"I5"	4.00																							2
1.00	"I6"	4.00																							5
1.00	"I6"	4.00																							2
1.00	"I7"	4.00																							2
1.00	"I7"	4.00																							1
1.00	"J2"	4.00		32		1	23					1									15				9
1.00	"J3"	4.00																							1
1.00	"J3"	4.00																							1
1.00	"J4"	4.00																							1
1.00	"J5"	4.00					12				1										1		1		
1.00	"J6"	4.00																							2
1.00	"J6"	4.00																							1
2.00	"C2"	4.00		2			3																		11
2.00	"C3"	4.00																							6
2.00	"C3"	4.00																							2
2.00	"C4"	4.00		4																					22
2.00	"C4"	4.00																							2
2.00	"D2"	4.00																4							1
2.00	"D3"	4.00																1							2
2.00	"D3"	4.00																1							
2.00	"D3"	4.00																							2
2.00	"D5"	4.00																							6
2.00	"D5"	4.00										1													
2.00	"E2"	4.00						1						1						1					8
2.00	"E2"	4.00					1																		
2.00	"E4"	4.00					1																		4
2.00	"E4"	4.00																							1
2.00	"F2"	4.00					4	1						1											1
2.00	"F2"	4.00					1											1							
2.00	"F3"	4.00		30			1							4											11
2.00	"F3"	4.00		3																					
2.00	"F4"	4.00		48			5	1				1													3
2.00	"G2"	4.00		2				2																	3
2.00	"G2"	4.00						1																	
2.00	"G3"	4.00		1			2							2											
2.00	"H3"	4.00		1																					
2.00	"H4"	4.00		13				1						5											4
2.00	"H4"	4.00												2											
2.00	"I4"	4.00					1											4							
2.00	"I4"	4.00																1							
2.00	"J4"	4.00																2							2
2.00	"J4"	4.00		1				1																	
2.00	"J4"	4.00																							1
2.00	"K2"	4.00		7			2							1											1
2.00	"K3"	4.00		50																1	1				6
3.00	"A2"	4.00					1																		
3.00	"A3"	4.00		6			1							1											6
3.00	"A4"	4.00		1			2																		6
3.00	"B3"	4.00		25																					6
3.00	"B3"	4.00																		1					
3.00	"B4"	4.00		8														1							21
3.00	"C2"	4.00		7																					1
3.00	"C3"	4.00		6										1											12
3.00	"C3"	4.00		1																					
3.00	"D3"	4.00		20																					1
3.00	"D3"	4.00		2																					
3.00	"E2"	4.00		16											1										8
3.00	"E3"	4.00		27																					20
3.00	"E4"	4.00		12				1																	11
3.00	"F3"	4.00		21														1			1				28
3.00	"F3"	4.00		1																					
3.00	"F4"	4.00																							1
3.00	"H2"	4.00		1																					
3.00	"H2"	4.00		1																					
3.00	"J3"	4.00		4																				1	
3.00	"J3"	4.00		1																				1	
3.00	"J4"	4.00		1																					
4.00	"A10"	4.00		39																2					1
4.00	"A2"	4.00																							2
4.00	"A4"	4.00		15																					7
4.00	"A5"	4.00		3			1																		
4.00	"A7"	4.00		31																1					
4.00	"A7"	4.00		1																1					
4.00	"A7"	4.00		5																					
4.00	"A8"	4.00		16																					
4.00	"A9"	4.00		39																					
4.00	"B10"	4.00		5			1				1														
4.00	"B2"	4.00		7																					1
4.00	"B2"	4.00		1																					
4.00	"B3"	4.00		25																					
4.00	"B3"	4.00		2																					
4.00	"B5"	4.00					1																		6
4.00	"B6"	4.00		9				2																	1
4.00	"B6"	4.00		1																					
4.00	"B6"	4.00		3																					
4.00	"B6"	4.00		1																					
4.00	"B8"	4.00		12			1																		2
4.00	"B8"	4.00		1																					
4.00	"C4"	4.00		1																					1
4.00	"C7"	4.00		21														1			18				7
4.00	"C7"	4.00									1														
4.00	"C8"	4.00		13																	1				
4.00	"D2"	4.00		3																					1
4.00	"D4"	4.00		9																					3
4.00	"D6"	4.00		5																					7
5.00	"A3"	4.00																							2
5.00	"A7"	4.00		42																					
5.00	"A7"	4.00		1																					
5.00	"B2"	4.00																							1
5.00	"B3"	4.00																							1
5.00	"B4"	4.00																							1
5.00	"B6"	4.00		2																					
5.00	"B7"	4.00		16																					
5.00	"B7"	4.00					1																		
5.00	"C2"	4.00					15								1										
5.00	"C6"	4.00		8			7																		
5.00	"C6"	4.00		2																					
5.00	"C8"	4.00		56			26														6				1
5.00	"C8"	4.00		1																					
5.00	"C8"	4.00		1																					
5.00	"C8"	4.00					1																		
5.00	"D3"	4.00																							4
5.00	"D4"	4.00																							2
5.00	"D7"	4.00																							1
5.00	"D7"	4.00																							1
5.00	"D7"	4.00																						1	2
5.00	"D8"	4.00		13																1					
5.00	"D8"	4.00		1																					
5.00	"E2"	4.00																							2
5.00	"E3"	4.00					3																		1
5.00	"E3"	4.00																							1
5.00	"E5"	4.00		3																					
5.00	"E5"	4.00		3																					
5.00	"E6"	4.00		3																					
5.00	"E8"	4.00		48											1										
6.00	"A3"	4.00		71																	9				5
6.00	"A5"	4.00		50																1					
6.00	"A5"	4.00		1																					
6.00	"A6"	4.00		6																					
6.00	"A6"	4.00		2								1													
6.00	"B2"	4.00		34																1	3				
6.00	"B2"	4.00		1																					
6.00	"B2"	4.00																			1				
6.00	"B3"	4.00		12																					
6.00	"B3"	4.00		1																					
6.00	"B6"	4.00		11																	1				
6.00	"B6"	4.00		1																					
6.00	"B6"	4.00		1																					
6.00	"B7"	4.00		2			13																		
6.00	"C2"	4.00		37			10															1			5
6.00	"C2"	4.00					1																		
6.00	"C3"	4.00		20																3	2				3
6.00	"C5"	4.00		16			2																		
6.00	"C6"	4.00					2																		
6.00	"C7"	4.00					18																		
6.00	"D2"	4.00		3																					2
6.00	"D3"	4.00		12																					
6.00	"D3"	4.00		1																					
6.00	"D4"	4.00		5																					1
6.00	"D5"	4.00					8																		
6.00	"D7"	4.00					3																		
6.00	"E3"	4.00		5			10													1					3
6.00	"E3"	4.00		1																					
6.00	"E5"	4.00		1																					
6.00	"E6"	4.00		13																					
7.00	"B2"	4.00																							1
7.00	"B2"	4.00																							1
7.00	"B3"	4.00		8																5					6
7.00	"B3"	4.00																							2
7.00	"B5"	4.00		3																					1
7.00	"B6"	4.00		11																					13
7.00	"B7"	4.00		27			3														2				
7.00	"B7"	4.00					1																		
7.00	"C3"	4.00		1																					2
7.00	"C3"	4.00																							1
7.00	"C4"	4.00		2			1													1					1
7.00	"C4"	4.00		1																					
7.00	"D5"	4.00		2	1		1													2					
7.00	"D5"	4.00			1																				
7.00	"D5"	4.00		1																					
7.00	"D7"	4.00		14			3		3										1		1	9			
7.00	"E3"	4.00					1																		6
7.00	"E3"	4.00																							1
7.00	"E3"	4.00																							2
7.00	"E5"	4.00		5			2														1				
7.00	"E5"	4.00		1																1					
7.00	"E5"	4.00		1																					
7.00	"F2"	4.00		1																					
7.00	"F2"	4.00					1																		
7.00	"F3"	4.00																							1
7.00	"F3"	4.00																							1
7.00	"F3"	4.00					1																		4
7.00	"F4"	4.00		9			13																		
