"treenum"	"plot"	"spp"	"top_ht"	"llb_ht"	"dbh"	"crown_class"	"st_sp"	"weevil"	"notes"
1	180	"TSCA"	374	57	4.50	"E"			
2	180	"TSCA"	222	32	1.60	"D"			
3	180	"TSCA"	253	68	2.50	"D"			
4	180	"ABBA"	173	43	1.20	"I"			
5	180	"ABBA"	193	78	1.20	"C"			
6	180	"TSCA"	204	36	1.40	"C"			
7	180	"ABBA"	174	27	0.90	"C"			
8	180	"ABBA"	114	43		"O"			
9	181	"BEAL"	444	46	2.50	"E"			
10	181	"PIST"	291	74	2.60	"D"			
11	181	"FRAM"	346	139	1.50	"E"			
12	181	"ABBA"	275	59	2.90	"D"			
13	181	"ABBA"	300	22	3.60	"D"			
14	181	"ABBA"	246	74	2.30	"C"			
15	181	"ABBA"	258	29	2.00	"C"			
16	181	"FRAM"	92	66		"O"			
17	181	"FRAM"	86	38		"O"			
18	181	"ACRU"	50	7		"O"			
19	181	"ACRU"	76	26		"O"			
20	181	"ACRU"	30	20		"O"			
21	181	"ACRU"	20	10		"O"			
22	181	"BEAL"	70	33		"O"			
23	181	"BEAL"	80	30		"O"			
24	181	"TSCA"	209	0	1.70	"C"			
25	174	"FRAM"	387	177	1.90	"E"			
26	174	"FRAM"	142	100		"O"			
27	174	"TSCA"	409	56	6.30	"E"			
28	174	"TSCA"	258	24	1.70	"D"			
29	174	"TSCA"	149	30		"I"			
30	174	"TSCA"	103	0		"I"			
31	174	"ABBA"	90	39		"O"			
32	174	"ABBA"	84	18		"I"			
33	173	"TSCA"	304	40	3.10	"D"			
34	173	"TSCA"	251	35	2.00	"C"			
35	173	"TSCA"	197	54	1.20	"I"			
36	173	"TSCA"	220	11	1.40	"C"			
37	173	"ABBA"	215	36	1.70	"C"			
38	173	"ABBA"	280	100	3.30	"D"			
39	173	"ABBA"	286	85	3.60	"D"			
40	173	"ABBA"	117	35		"O"			
41	214	"TSCA"	351	32	3.20	"E"			
42	214	"TSCA"	261	39	2.40	"D"			
