"RA"	"PLOT"	"INV"	"???"	"ABBA"	"ABBU"	"ACPE"	"ACRU"	"ACSA"	"ALIN"	"ALNI"	"BEAL"	"BEPA"	"COCO"	"FAGR"	"FRAM"	"FRNI"	"HAVI"	"OSVI"	"PIGL"	"PIRU"	"PIST"	"POTR"	"QURU"	"THOC"	"TSCA"
1.00	"F2"	4.00												2.674015e-04						3.932375e-04					
1.00	"F3"	4.00					1.0538765e-03																		
1.00	"G2"	4.00		6.92098e-03			0.01														2.674015e-04	0.01			
1.00	"G2"	4.00																				4.246965e-04			
1.00	"G2"	4.00					2.6897445e-03															3.1459e-04			
1.00	"G4"	4.00						9.909585e-04										1.1482535e-03							
1.00	"G4"	4.00						9.280405e-04																	
1.00	"G4"	4.00																1.101065e-03							
1.00	"G5"	4.00																1.0224175e-03							1.0853355e-03
1.00	"H2"	4.00		0.02																					3.4762195e-03
1.00	"H3"	4.00		6.5592015e-03			6.763685e-04							9.75229e-04						5.819915e-04					2.7526625e-03
1.00	"H3"	4.00																							1.069606e-03
1.00	"H4"	4.00					1.3999255e-03				1.0538765e-03														7.86475e-04
1.00	"H4"	4.00																							1.163983e-03
1.00	"H7"	4.00		3.1616295e-03			1.950458e-03																		2.674015e-03
1.00	"H7"	4.00																							6.92098e-04
1.00	"H7"	4.00																							9.280405e-04
1.00	"I2"	4.00		2.83131e-04			3.303195e-04	1.3370075e-03						3.1459e-04											7.55016e-04
1.00	"I2"	4.00						8.336635e-04																	
1.00	"I3"	4.00					0.01				5.505325e-04														
1.00	"I3"	4.00					4.246965e-04																		
1.00	"I3"	4.00					9.4377e-04																		
1.00	"I5"	4.00						1.3999255e-03																	1.3370075e-03
1.00	"I5"	4.00																							2.20213e-03
1.00	"I6"	4.00																							4.750309e-03
1.00	"I6"	4.00																							2.139212e-03
1.00	"I7"	4.00																							1.0853355e-03
1.00	"I7"	4.00																							7.86475e-04
1.00	"J2"	4.00		0.01		2.51672e-04	0.01					5.505325e-04									5.9929395e-03				3.7908095e-03
1.00	"J3"	4.00																							1.1797125e-03
1.00	"J3"	4.00																							7.55016e-04
1.00	"J4"	4.00																							8.17934e-04
1.00	"J5"	4.00					4.813227e-03				2.674015e-04										4.08967e-04		5.819915e-04		
1.00	"J6"	4.00																							2.5009905e-03
1.00	"J6"	4.00																							1.2740895e-03
2.00	"C2"	4.00		9.280405e-04			8.49393e-04																		6.071587e-03
2.00	"C3"	4.00																							6.3075295e-03
2.00	"C3"	4.00																							1.4943025e-03
2.00	"C4"	4.00		1.478573e-03																					7.5973485e-03
2.00	"C4"	4.00																							6.2918e-04
2.00	"D2"	4.00																3.5076785e-03							1.4313845e-03
2.00	"D3"	4.00																1.163983e-03							1.918999e-03
2.00	"D3"	4.00																1.447114e-03							
2.00	"D3"	4.00																							1.132524e-03
2.00	"D5"	4.00																							2.1549415e-03
2.00	"D5"	4.00										1.1797125e-03													
2.00	"E2"	4.00						9.75229e-04						7.707455e-04						4.08967e-04					6.4962835e-03
2.00	"E2"	4.00					1.1797125e-03																		
2.00	"E4"	4.00					1.4313845e-03																		2.9099575e-03
2.00	"E4"	4.00																							5.819915e-04
2.00	"F2"	4.00					5.0177105e-03	9.280405e-04						1.2111715e-03											3.617785e-04
2.00	"F2"	4.00					1.101065e-03											7.55016e-04							
2.00	"F3"	4.00		0.01			1.1167945e-03							5.1750055e-03											7.1254635e-03
2.00	"F3"	4.00		8.49393e-04																					
2.00	"F4"	4.00		0.03			6.889521e-03	1.1167945e-03				8.17934e-04													2.548179e-03
2.00	"G2"	4.00		1.541491e-03				2.107753e-03																	3.3503835e-03
2.00	"G2"	4.00						7.86475e-04																	
2.00	"G3"	4.00		2.988605e-04			6.2918e-04							1.510032e-03											
2.00	"H3"	4.00		3.46049e-04																					
2.00	"H4"	4.00		6.1187755e-03				1.195442e-03						5.0806285e-03											1.667327e-03
2.00	"H4"	4.00												1.698786e-03											
2.00	"I4"	4.00					1.25836e-03											3.8222685e-03							
2.00	"I4"	4.00																6.2918e-04							
2.00	"J4"	4.00																1.5886795e-03							1.3055485e-03
2.00	"J4"	4.00		7.23557e-04				9.594995e-04																	
2.00	"J4"	4.00																							3.932375e-04
2.00	"K2"	4.00		4.7031205e-03			2.6582855e-03							1.163983e-03											3.303195e-04
2.00	"K3"	4.00		0.02																4.246965e-04	7.23557e-04				4.876145e-03
3.00	"A2"	4.00					1.132524e-03																		
3.00	"A3"	4.00		3.6649735e-03			1.352737e-03							3.1459e-04											3.429031e-03
3.00	"A4"	4.00		4.71885e-04			2.799851e-03																		5.442407e-03
3.00	"B3"	4.00		0.01																					3.6020555e-03
3.00	"B3"	4.00																		3.1459e-04					
3.00	"B4"	4.00		5.4895955e-03														1.006688e-03							0.01
3.00	"C2"	4.00		4.8604155e-03																					7.392865e-04
3.00	"C3"	4.00		7.109734e-03										1.25836e-03											6.543472e-03
3.00	"C3"	4.00		4.08967e-04																					
3.00	"D3"	4.00		0.01																					2.674015e-04
3.00	"D3"	4.00		8.80852e-04																					
3.00	"E2"	4.00		5.756997e-03											1.0853355e-03										3.4133015e-03
3.00	"E3"	4.00		0.01																					0.01
3.00	"E4"	4.00		5.819915e-03				1.0853355e-03																	4.3885305e-03
3.00	"F3"	4.00		8.305176e-03														2.988605e-04			2.51672e-04				0.01
3.00	"F3"	4.00		5.190735e-04																					
3.00	"F4"	4.00																							9.909585e-04
3.00	"H2"	4.00		9.75229e-04																					
3.00	"H2"	4.00		6.2918e-04																					
3.00	"J3"	4.00		2.6268265e-03																				1.478573e-03	
3.00	"J3"	4.00		5.190735e-04																				1.2740895e-03	
3.00	"J4"	4.00		1.25836e-03																					
4.00	"A10"	4.00		0.02																1.2111715e-03					3.932375e-04
4.00	"A2"	4.00																							8.17934e-04
4.00	"A4"	4.00		6.5592015e-03																					3.240277e-03
4.00	"A5"	4.00		2.1549415e-03			1.3684665e-03																		
4.00	"A7"	4.00		0.01																3.932375e-04					
4.00	"A7"	4.00		6.134505e-04																2.988605e-04					
4.00	"A7"	4.00		2.3436955e-03																					
4.00	"A8"	4.00		0.01																					
4.00	"A9"	4.00		0.02																					
4.00	"B10"	4.00		3.5076785e-03			1.3684665e-03				1.1482535e-03														
4.00	"B2"	4.00		2.7841215e-03																					1.101065e-03
4.00	"B2"	4.00		4.876145e-04																					
4.00	"B3"	4.00		0.01																					
4.00	"B3"	4.00		9.4377e-04																					
4.00	"B5"	4.00					1.195442e-03																		6.0243985e-03
4.00	"B6"	4.00		4.3256125e-03				2.5009905e-03																	1.069606e-03
4.00	"B6"	4.00		8.022045e-04																					
4.00	"B6"	4.00		1.2426305e-03																					
4.00	"B6"	4.00		4.246965e-04																					
4.00	"B8"	4.00		7.801832e-03			7.23557e-04																		1.57295e-03
4.00	"B8"	4.00		5.505325e-04																					
4.00	"C4"	4.00		2.674015e-04																					6.449095e-04
4.00	"C7"	4.00		9.8309375e-03														5.66262e-04			9.500618e-03				4.844686e-03
4.00	"C7"	4.00									2.674015e-04														
4.00	"C8"	4.00		0.01																	8.17934e-04				
4.00	"D2"	4.00		1.8088925e-03																					9.909585e-04
4.00	"D4"	4.00		5.6783495e-03																					1.1167945e-03
